raw_id,t_group,t_start,sorted_record_index,source_t_group,source_record_index,element,edge_x,edge_y,edge_z,edge_L,edge_tcoord,edge_tL,edge_dir,source_h0,source_h1,source_h2,source_h3,source_h4,source_h5,source_h6,source_h7,face_axis,face_axis_role,face_side,h0,h1,h2,h3,t0,t1,t2,t3,A,B,root_num,root_den,u_num,u_den,v_num,v_den,logical_incidence_id,canonical_event_id
cache=0:1:1348212;source=0:165508;face=0:1,0,1,1348212,0,165508,2,768,1132,1082,11,1,1,2,382858:0,411758:0,447714:0,447801:0,382858:0,411765:0,447696:0,447801:0,0,temporal_neighbour,1,382858:0,411765:0,447801:0,447696:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=2;role=temporal_neighbour;face=382858:0|411765:0|447801:0|447696:0;edge=768,1132,1082,11,1,1,2,2","element=2;role=temporal_neighbour;face=382858:0|411765:0|447801:0|447696:0"
cache=0:1:1348285;source=0:176265;face=0:0,0,1,1348285,0,176265,4,776,1128,1081,11,1,1,2,1100203:0,1127146:0,1127242:0,1127311:0,1100203:0,1127137:0,1127249:0,1127311:0,0,temporal_neighbour,0,1100203:0,1127146:0,1127311:0,1127242:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100203:0|1127146:0|1127311:0|1127242:0;edge=776,1128,1081,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100203:0|1127146:0|1127311:0|1127242:0"
cache=0:1:1348285;source=0:176265;face=0:1,0,1,1348285,0,176265,4,776,1128,1081,11,1,1,2,1100203:0,1127146:0,1127242:0,1127311:0,1100203:0,1127137:0,1127249:0,1127311:0,0,temporal_neighbour,1,1100203:0,1127137:0,1127311:0,1127249:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100203:0|1127137:0|1127311:0|1127249:0;edge=776,1128,1081,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100203:0|1127137:0|1127311:0|1127249:0"
cache=0:1:1348286;source=0:176270;face=0:0,0,1,1348286,0,176270,1,776,1128,1082,11,1,1,2,17895:0,56943:0,56862:0,56997:0,17895:0,56944:0,56855:0,56997:0,0,temporal_neighbour,0,17895:0,56862:0,56997:0,56943:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=17895:0|56862:0|56997:0|56943:0;edge=776,1128,1082,11,1,1,2,1","element=1;role=temporal_neighbour;face=17895:0|56862:0|56997:0|56943:0"
cache=0:1:1348286;source=0:176270;face=0:1,0,1,1348286,0,176270,1,776,1128,1082,11,1,1,2,17895:0,56943:0,56862:0,56997:0,17895:0,56944:0,56855:0,56997:0,0,temporal_neighbour,1,17895:0,56855:0,56997:0,56944:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=1;role=temporal_neighbour;face=17895:0|56855:0|56997:0|56944:0;edge=776,1128,1082,11,1,1,2,1","element=1;role=temporal_neighbour;face=17895:0|56855:0|56997:0|56944:0"
cache=0:1:1348287;source=0:176271;face=0:0,0,1,1348287,0,176271,2,776,1128,1082,11,1,1,2,383376:0,447763:0,447627:0,447847:0,383376:0,447767:0,447621:0,447847:0,0,temporal_neighbour,0,383376:0,447627:0,447847:0,447763:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=383376:0|447627:0|447847:0|447763:0;edge=776,1128,1082,11,1,1,2,2","element=2;role=temporal_neighbour;face=383376:0|447627:0|447847:0|447763:0"
cache=0:1:1348287;source=0:176271;face=0:1,0,1,1348287,0,176271,2,776,1128,1082,11,1,1,2,383376:0,447763:0,447627:0,447847:0,383376:0,447767:0,447621:0,447847:0,0,temporal_neighbour,1,383376:0,447621:0,447847:0,447767:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=2;role=temporal_neighbour;face=383376:0|447621:0|447847:0|447767:0;edge=776,1128,1082,11,1,1,2,2","element=2;role=temporal_neighbour;face=383376:0|447621:0|447847:0|447767:0"
cache=0:1:1348288;source=0:176272;face=0:0,0,1,1348288,0,176272,4,776,1128,1082,11,1,1,2,1100203:0,1127252:0,1127150:0,1127319:0,1100203:0,1127254:0,1127138:0,1127319:0,0,temporal_neighbour,0,1100203:0,1127150:0,1127319:0,1127252:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100203:0|1127150:0|1127319:0|1127252:0;edge=776,1128,1082,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100203:0|1127150:0|1127319:0|1127252:0"
cache=0:1:1348288;source=0:176272;face=0:1,0,1,1348288,0,176272,4,776,1128,1082,11,1,1,2,1100203:0,1127252:0,1127150:0,1127319:0,1100203:0,1127254:0,1127138:0,1127319:0,0,temporal_neighbour,1,1100203:0,1127138:0,1127319:0,1127254:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100203:0|1127138:0|1127319:0|1127254:0;edge=776,1128,1082,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100203:0|1127138:0|1127319:0|1127254:0"
cache=0:1:1348349;source=0:201192;face=0:0,0,1,1348349,0,201192,1,794,1118,1085,11,1,1,2,55844:0,55859:0,55857:0,55850:0,55844:0,55863:0,55845:0,55850:0,0,temporal_neighbour,0,55844:0,55857:0,55850:0,55859:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=55844:0|55857:0|55850:0|55859:0;edge=794,1118,1085,11,1,1,2,1","element=1;role=temporal_neighbour;face=55844:0|55857:0|55850:0|55859:0"
cache=0:1:1348349;source=0:201192;face=0:1,0,1,1348349,0,201192,1,794,1118,1085,11,1,1,2,55844:0,55859:0,55857:0,55850:0,55844:0,55863:0,55845:0,55850:0,0,temporal_neighbour,1,55844:0,55845:0,55850:0,55863:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=1;role=temporal_neighbour;face=55844:0|55845:0|55850:0|55863:0;edge=794,1118,1085,11,1,1,2,1","element=1;role=temporal_neighbour;face=55844:0|55845:0|55850:0|55863:0"
cache=0:1:1348351;source=0:201197;face=0:0,0,1,1348351,0,201197,2,794,1118,1086,11,1,1,2,446126:0,446159:0,446157:0,446137:0,446126:0,446163:0,446136:0,446137:0,0,temporal_neighbour,0,446126:0,446157:0,446137:0,446159:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=446126:0|446157:0|446137:0|446159:0;edge=794,1118,1086,11,1,1,2,2","element=2;role=temporal_neighbour;face=446126:0|446157:0|446137:0|446159:0"
cache=0:1:1348351;source=0:201197;face=0:1,0,1,1348351,0,201197,2,794,1118,1086,11,1,1,2,446126:0,446159:0,446157:0,446137:0,446126:0,446163:0,446136:0,446137:0,0,temporal_neighbour,1,446126:0,446136:0,446137:0,446163:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=2;role=temporal_neighbour;face=446126:0|446136:0|446137:0|446163:0;edge=794,1118,1086,11,1,1,2,2","element=2;role=temporal_neighbour;face=446126:0|446136:0|446137:0|446163:0"
cache=0:1:1348465;source=0:230327;face=0:0,0,1,1348465,0,230327,1,812,1108,1075,11,1,1,2,17889:0,56068:0,56054:0,56071:0,17889:0,56070:0,56041:0,56071:0,0,temporal_neighbour,0,17889:0,56054:0,56071:0,56068:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=17889:0|56054:0|56071:0|56068:0;edge=812,1108,1075,11,1,1,2,1","element=1;role=temporal_neighbour;face=17889:0|56054:0|56071:0|56068:0"
